City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
85,Puerto Ayora,-0.7393,-90.3518,69.73,88,96,6.13,overcast clouds
86,San Cristobal,7.7669,-72.225,75.38,97,100,3.65,overcast clouds
87,Kavaratti,10.5669,72.642,81.55,78,100,14.25,overcast clouds
88,Port Elizabeth,-33.918,25.5701,50.29,93,0,2.3,clear sky
89,Olinda,-8.0089,-34.8553,76.73,78,75,11.5,broken clouds
90,Yellowknife,62.456,-114.3525,46.92,90,75,16.11,light rain
91,Belaya Gora,68.5333,146.4167,38.07,67,100,15.19,overcast clouds
92,Thompson,55.7435,-97.8558,42.96,93,90,5.75,overcast clouds
93,Waingapu,-9.6567,120.2641,84.76,54,22,9.98,few clouds
94,Carnarvon,-24.8667,113.6333,71.67,64,1,13.8,clear sky
95,Tiksi,71.6872,128.8694,33.33,77,100,21.32,overcast clouds
96,Namibe,-15.1961,12.1522,65.07,91,70,4.76,broken clouds
97,Atuona,-9.8,-139.0333,77.88,79,100,16.96,overcast clouds
98,Bambous Virieux,-20.3428,57.7575,71.22,94,75,3.44,light rain
99,Meulaboh,4.1363,96.1285,80.87,78,66,4.72,broken clouds
100,Skjervoy,70.0311,20.9714,47.77,81,100,18.43,light rain
101,Abeche,13.8292,20.8324,81.61,59,98,0.96,overcast clouds
102,Hailey,43.5196,-114.3153,64.26,40,1,4.61,clear sky
103,Leshukonskoye,64.8989,45.7622,46.44,95,100,8.32,overcast clouds
104,Cape Town,-33.9258,18.4232,54.27,90,0,4.61,clear sky
105,Denpasar,-8.65,115.2167,82.06,83,40,12.66,scattered clouds
106,Airai,-8.9266,125.4092,77.65,36,25,2.53,scattered clouds
107,Neyshabur,36.2133,58.7958,72.91,14,0,3.18,clear sky
108,Arraial Do Cabo,-22.9661,-42.0278,67.96,83,0,19.57,clear sky
109,Lebu,-37.6167,-73.65,51.64,94,10,2.89,clear sky
110,Norman Wells,65.282,-126.8329,37.44,93,90,12.66,light rain
111,Pryazha,61.6926,33.6216,43.83,94,100,7.16,overcast clouds
112,Tubuala,9.5167,-79.0333,78.33,85,97,3.0,overcast clouds
113,Qasigiannguit,68.8193,-51.1922,25.05,85,89,5.82,overcast clouds
114,Seoul,37.5683,126.9778,71.2,68,0,4.61,clear sky
115,Longyearbyen,78.2186,15.6401,40.84,87,75,1.14,broken clouds
116,Ganzhou,28.8184,115.4327,88.29,61,0,3.36,clear sky
117,Muhos,64.808,25.9931,44.38,85,100,7.23,light rain
118,Husavik,66.0449,-17.3389,35.51,92,100,6.64,overcast clouds
119,Jacareacanga,-6.2222,-57.7528,70.02,95,96,0.63,light rain
120,Korla,41.7597,86.1469,63.55,26,0,6.13,clear sky
121,Busselton,-33.65,115.3333,59.09,58,3,17.27,clear sky
122,Urzhum,57.1141,49.9996,45.05,92,100,12.01,light rain
123,Saldanha,-33.0117,17.9442,55.87,86,100,4.25,overcast clouds
124,Vaini,-21.2,-175.2,75.36,69,20,14.97,few clouds
125,Cherskiy,68.75,161.3,35.6,85,100,11.63,overcast clouds
126,Clinton,42.587,-82.9199,64.72,78,1,6.91,clear sky
127,Hithadhoo,-0.6,73.0833,82.44,72,99,13.76,overcast clouds
128,Eyl,7.9803,49.8164,75.76,81,65,8.23,broken clouds
129,Fortuna,40.5982,-124.1573,61.92,63,1,1.01,clear sky
130,Chicama,-7.8447,-79.1469,59.54,81,20,6.76,few clouds
131,Quatre Cocos,-20.2078,57.7625,72.09,77,71,20.13,light rain
132,Zvishavane,-20.3267,30.0665,58.12,45,0,1.61,clear sky
133,Ganta,7.3022,-8.5308,69.13,99,96,1.16,moderate rain
134,Bilibino,68.0546,166.4372,28.22,86,100,4.76,overcast clouds
135,Hofn,64.2539,-15.2082,37.92,89,100,11.54,overcast clouds
136,Turtas,58.9417,69.1325,34.34,92,5,2.68,clear sky
137,Awbari,26.5921,12.7805,78.17,30,0,7.7,clear sky
138,Rocha,-34.4833,-54.3333,52.18,98,33,3.2,scattered clouds
139,Jaru,-10.4389,-62.4664,84.9,51,98,5.1,overcast clouds
140,Kaka,37.3482,59.6143,82.24,11,0,5.66,clear sky
141,Port Hedland,-20.3167,118.5667,78.85,69,40,10.36,scattered clouds
142,Srednekolymsk,67.45,153.6833,41.4,61,100,10.89,overcast clouds
143,Bossier City,32.516,-93.7321,70.99,69,1,3.44,clear sky
144,Tasiilaq,65.6145,-37.6368,29.73,81,98,7.9,overcast clouds
145,Ocosingo,17.0667,-92.25,62.56,99,98,0.63,overcast clouds
146,San Policarpo,12.1791,125.5072,85.89,71,11,6.15,few clouds
147,Bodden Town,19.2833,-81.25,84.2,84,20,1.01,few clouds
148,Hauterive,46.0901,3.4459,59.76,89,31,3.62,scattered clouds
149,Timra,62.487,17.3257,43.68,99,75,3.44,broken clouds
150,Avera,33.194,-82.5271,62.71,54,0,4.7,clear sky
151,Olean,42.0776,-78.4297,57.78,81,1,0.0,clear sky
152,Saint George,37.1041,-113.5841,90.19,12,1,6.91,clear sky
153,Ndele,8.4109,20.6473,68.13,94,100,4.43,overcast clouds
154,Nikolskoye,59.7035,30.7861,46.87,93,100,7.45,light rain
155,Ust-Tsilma,65.441,52.1498,42.3,84,76,9.06,broken clouds
156,Ancud,-41.8697,-73.8203,50.43,93,100,9.93,overcast clouds
157,Dingle,10.9995,122.6711,85.41,73,91,7.96,light rain
158,Kisangani,0.5167,25.2,67.12,99,99,1.52,overcast clouds
159,Maceio,-9.6658,-35.7353,80.04,83,75,9.22,broken clouds
160,Port Augusta,-32.5,137.7667,64.71,37,7,12.82,clear sky
161,Port Macquarie,-31.4333,152.9167,83.37,41,73,10.98,broken clouds
162,Vila Franca Do Campo,37.7167,-25.4333,69.19,81,99,6.33,overcast clouds
163,Belmonte,-15.8631,-38.8828,70.3,76,69,7.36,broken clouds
164,Rock Springs,41.5875,-109.2029,61.05,32,0,3.49,clear sky
165,Qaqortoq,60.7167,-46.0333,34.97,46,0,6.38,clear sky
166,Sao Felix Do Xingu,-6.6447,-51.995,78.15,56,47,1.12,scattered clouds
167,Evensk,61.95,159.2333,47.7,66,15,5.26,few clouds
168,Ribeira Grande,38.5167,-28.7,70.41,82,100,19.93,overcast clouds
169,Trairi,-3.2778,-39.2689,78.67,84,37,13.2,scattered clouds
170,Xichang,27.8964,102.2634,71.89,77,14,3.24,few clouds
171,Jumla,29.2747,82.1838,59.7,90,100,3.42,overcast clouds
172,Smithers,54.7804,-127.1743,55.72,82,90,2.3,overcast clouds
173,Port Alfred,-33.5906,26.891,59.13,83,67,6.82,broken clouds
174,New Norfolk,-42.7826,147.0587,49.71,57,66,4.0,light rain
175,Quesnel,52.9999,-122.5029,59.5,77,1,5.75,clear sky
176,Katsuura,35.1333,140.3,73.51,71,57,16.31,broken clouds
177,Mach,29.8637,67.3298,77.36,61,0,0.65,clear sky
178,Ahipara,-35.1667,173.1667,60.93,67,8,8.66,clear sky
179,Corinto,37.9407,22.9573,67.68,59,47,5.99,scattered clouds
180,Cidreira,-30.1811,-50.2056,60.48,86,37,3.76,scattered clouds
181,Lagoa,39.05,-27.9833,70.32,77,100,16.35,overcast clouds
182,Cabo San Lucas,22.8909,-109.9124,86.61,79,3,8.28,clear sky
183,Margate,51.3813,1.3862,61.03,91,39,1.99,scattered clouds
184,Kodiak,57.79,-152.4072,45.66,48,4,4.38,clear sky
185,Kenai,60.5544,-151.2583,41.02,88,100,3.67,light rain
186,Narsaq,60.9167,-46.05,32.18,44,0,4.5,clear sky
187,Salalah,17.0151,54.0924,80.69,83,40,5.75,scattered clouds
188,Brae,60.3964,-1.353,51.71,77,98,7.87,overcast clouds
189,Samarai,-10.6167,150.6667,81.07,79,53,8.1,broken clouds
190,Dosso,13.049,3.1937,79.38,72,97,8.12,overcast clouds
191,Kayes,14.0,-11.0,72.23,95,100,17.98,overcast clouds
192,Dalvik,65.9702,-18.5286,35.53,91,96,3.47,overcast clouds
193,Hambantota,6.1241,81.1185,79.14,100,20,5.75,few clouds
194,Trutnov,50.561,15.9127,59.49,91,99,4.0,overcast clouds
195,Cayenne,4.9333,-52.3333,83.08,83,59,1.01,broken clouds
196,Mahajanga,-15.7167,46.3167,69.82,73,20,3.44,few clouds
197,Eureka,40.8021,-124.1637,62.19,79,49,4.45,scattered clouds
198,Monze,-16.2833,27.4833,64.49,47,0,5.19,clear sky
199,Faanui,-16.4833,-151.75,77.22,62,0,1.92,clear sky
200,Beloha,-25.1667,45.05,69.24,61,0,7.16,clear sky
201,Kruisfontein,-34.0033,24.7314,52.03,89,55,5.12,broken clouds
202,Tadine,-21.55,167.8833,73.69,57,78,9.42,broken clouds
203,Nemuro,43.3236,145.575,57.63,66,1,15.41,clear sky
204,Mar Del Plata,-38.0023,-57.5575,55.13,61,0,1.99,clear sky
205,Georgetown,5.4112,100.3354,85.93,82,20,1.01,haze
206,Miguel Pereira,-22.4539,-43.4689,63.64,80,20,3.06,few clouds
207,Kaitangata,-46.2817,169.8464,55.9,68,73,13.47,broken clouds
208,Teruel,40.6667,-0.6667,57.16,76,100,5.79,overcast clouds
209,Bilma,18.6853,12.9164,84.63,13,5,5.17,clear sky
210,Severnoye,56.3491,78.3619,36.3,98,100,8.1,overcast clouds
211,Victoria,22.2855,114.1577,88.25,76,62,1.99,broken clouds
212,Isla Vista,34.4133,-119.861,80.35,52,57,3.44,broken clouds
213,Clyde River,70.4692,-68.5914,27.7,71,20,4.29,few clouds
214,Aldan,58.6031,125.3894,39.99,67,100,3.15,overcast clouds
215,Wilmington,34.2257,-77.9447,68.86,80,24,5.5,few clouds
216,Turbat,26.0023,63.044,82.33,60,90,1.54,overcast clouds
217,Kazuno,40.1836,140.7872,67.24,55,3,5.37,clear sky
218,Dalbandin,28.8947,64.4101,75.81,9,0,5.86,clear sky
219,Sept-Iles,50.2001,-66.3821,52.32,96,90,8.01,overcast clouds
220,Vaitape,-16.5167,-151.75,77.23,62,0,1.92,clear sky
221,Bandarbeyla,9.4942,50.8122,77.23,78,100,20.02,light rain
222,Carira,-10.3608,-37.7011,66.47,96,14,6.67,few clouds
223,Teya,60.3778,92.6267,35.65,83,100,3.51,overcast clouds
224,Iqaluit,63.7506,-68.5145,28.13,86,20,11.01,few clouds
225,Sur,22.5667,59.5289,82.78,70,100,4.38,overcast clouds
226,Severo-Kurilsk,50.6789,156.125,47.44,92,100,29.89,light rain
227,Lerwick,60.1545,-1.1494,51.8,77,92,8.57,overcast clouds
228,Iquitos,-3.7481,-73.2472,77.04,88,20,0.0,few clouds
229,Padang,-0.9492,100.3543,78.85,79,97,2.98,overcast clouds
230,Nome,64.5011,-165.4064,38.16,95,100,2.06,light rain
231,Kismayo,-0.3582,42.5454,76.21,84,97,15.23,overcast clouds
232,Staraya Poltavka,50.4772,46.4814,45.75,83,14,3.09,few clouds
233,Kerchevskiy,59.946,56.2884,45.59,83,100,3.89,overcast clouds
234,Buzuluk,52.7807,52.2635,50.41,58,100,9.78,heavy intensity rain
235,Hami,42.8,93.45,61.56,25,67,4.68,broken clouds
236,Guerrero Negro,27.9769,-114.0611,72.79,69,100,16.8,overcast clouds
237,Armidale,-30.5167,151.65,66.81,29,100,12.59,overcast clouds
238,Pueblo,38.2545,-104.6091,73.98,33,1,10.36,clear sky
239,Sosnovo-Ozerskoye,52.5249,111.5418,48.36,83,100,12.39,overcast clouds
240,Freetown,8.484,-13.2299,78.1,85,100,4.47,light rain
241,Kamaishi,39.2667,141.8833,70.75,73,70,5.99,broken clouds
242,Karratha,-20.7377,116.8463,82.11,22,1,11.95,clear sky
243,Ostrovnoy,68.0531,39.5131,47.26,92,100,17.69,overcast clouds
244,Tawau,4.2498,117.8871,82.53,83,39,1.99,scattered clouds
245,Pudsey,53.7954,-1.6613,63.99,65,100,4.0,overcast clouds
246,Haines Junction,60.7522,-137.5108,46.35,36,60,8.05,broken clouds
247,Krasnoarmeysk,51.0239,45.6969,44.29,78,28,2.3,scattered clouds
248,Andenes,69.3143,16.1194,44.58,87,100,6.91,drizzle
249,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,58,75,11.18,broken clouds
250,Chokurdakh,70.6333,147.9167,34.3,77,100,16.46,overcast clouds
251,Malinyi,-8.9333,36.1333,69.49,72,0,2.84,clear sky
252,Hasaki,35.7333,140.8333,75.6,70,71,18.81,broken clouds
253,Bima,-8.4667,118.7167,92.21,43,11,2.55,few clouds
254,Arlit,18.7369,7.3853,86.67,10,0,6.42,clear sky
255,Beringovskiy,63.05,179.3167,32.79,94,100,23.58,light snow
256,Fairbanks,64.8378,-147.7164,35.6,89,90,3.44,light snow
257,Half Moon Bay,37.4636,-122.4286,79.7,79,90,1.01,mist
258,Puerto Madryn,-42.7692,-65.0385,67.39,48,31,31.79,scattered clouds
259,Ilhabela,-23.7781,-45.3581,66.99,85,98,7.58,overcast clouds
260,Erechim,-27.6342,-52.2739,59.04,96,0,3.85,clear sky
261,Belgrade,44.804,20.4651,62.69,72,0,5.75,clear sky
262,Macia,-25.0269,33.0989,59.72,81,2,0.94,clear sky
263,Ayan,56.45,138.1667,58.93,50,18,2.95,few clouds
264,Novi Sanzhary,49.3439,34.3108,47.32,94,93,6.58,overcast clouds
265,Hovd,48.0056,91.6419,40.69,38,1,2.53,clear sky
266,Homer,59.6425,-151.5483,43.81,78,99,5.99,overcast clouds
267,Saint-Leu,-21.15,55.2833,70.63,74,9,2.98,clear sky
268,Neuquen,-38.9516,-68.0591,76.89,22,0,12.66,clear sky
269,San Isidro,-12.1167,-77.05,60.51,87,90,6.91,overcast clouds
270,Constantine,36.365,6.6147,74.61,49,0,4.61,clear sky
