City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Thinadhoo,MV,2021-09-23 01:10:02,0.5333,72.9333,84.07,71,100,16.4
59,Ushuaia,AR,2021-09-23 01:06:13,-54.8,-68.3,38.86,87,20,0.0
60,Bengkulu,ID,2021-09-23 01:10:04,-3.8004,102.2655,76.87,89,64,2.39
61,Takhtamygda,RU,2021-09-23 01:10:04,54.1,123.5667,52.56,58,100,6.62
62,Canico,PT,2021-09-23 01:10:06,32.6333,-16.85,72.23,75,40,1.01
63,Sao Francisco,BR,2021-09-23 01:10:06,-15.9486,-44.8644,84.78,43,45,13.38
64,Ilulissat,GL,2021-09-23 01:09:07,69.2167,-51.1,8.2,76,16,7.4
65,Yellowknife,CA,2021-09-23 01:09:09,62.456,-114.3525,51.24,78,100,4.83
66,Krasnoselkup,RU,2021-09-23 01:07:49,65.7,82.4667,33.55,86,100,14.92
67,Guerrero Negro,MX,2021-09-23 01:08:57,27.9769,-114.0611,77.31,71,25,15.52
68,Tautira,PF,2021-09-23 01:10:07,-17.7333,-149.15,80.62,68,46,8.5
69,Adjumani,UG,2021-09-23 01:10:08,3.3779,31.7909,65.52,94,0,1.74
70,Hastings,GB,2021-09-23 01:10:08,50.8552,0.5729,57.52,92,7,7.96
71,Copiapo,CL,2021-09-23 01:10:09,-27.3667,-70.3333,49.69,45,0,0.87
72,Richards Bay,ZA,2021-09-23 01:10:09,-28.783,32.0377,57.88,79,0,7.85
73,Caucaia,BR,2021-09-23 01:10:10,-3.7361,-38.6531,80.04,78,20,5.75
74,Lingao,CN,2021-09-23 01:10:11,19.9103,109.6859,83.1,80,100,7.07
75,Airai,TL,2021-09-23 01:08:11,-8.9266,125.4092,72.54,33,44,5.01
76,Vaasa,FI,2021-09-23 01:10:11,63.096,21.6158,48.22,81,75,12.66
77,Saskylakh,RU,2021-09-23 01:10:12,71.9167,114.0833,34.86,99,100,3.74
78,Astana,KZ,2021-09-23 01:10:12,51.1801,71.446,35.55,69,51,4.47
79,Butaritari,KI,2021-09-23 01:10:13,3.0707,172.7902,83.01,66,98,12.77
80,Koshurnikovo,RU,2021-09-23 01:10:13,54.1667,93.3,34.14,97,100,2.66
81,Alta Floresta,BR,2021-09-23 01:10:14,-9.8756,-56.0861,83.25,32,85,3.13
82,Labuhan,ID,2021-09-23 01:10:14,-6.8844,112.2051,84.27,67,100,13.62
83,Port Blair,IN,2021-09-23 01:10:15,11.6667,92.75,79.63,84,97,10.6
84,Norman Wells,CA,2021-09-23 01:10:15,65.282,-126.8329,34.38,97,100,14.5
85,East London,ZA,2021-09-23 01:10:16,-33.0153,27.9116,60.73,76,100,18.7
86,Abu Dhabi,AE,2021-09-23 01:05:29,24.4667,54.3667,86.02,74,0,4.61
87,Pisco,PE,2021-09-23 01:10:16,-13.7,-76.2167,62.02,82,52,17.27
88,Hithadhoo,MV,2021-09-23 01:10:17,-0.6,73.0833,83.26,73,98,16.04
